PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30177171,862,960,26.14212472,2546.1
30177651,40,71,5.459400781,112.47
30177651,71,40,5.459400781,112.47
30178141,174,314,22.96928452,1392.7
30178141,314,174,22.96928452,1392.7
30181621,1551,1580,23.20002528,5237.9
30181621,1580,1595,11.1161375,4560.8
30181621,1595,1551,23.26188608,1836.8
30181623,1551,1598,16.26852315,1032.7
30181623,1598,1551,16.26852315,1032.7
30182081,1259,1424,14.95274403,1123.2
30182081,1424,1409,5.164139205,192.68
30182081,1409,1259,14.65086335,984.49
30182251,109,313,7.109042614,274.09
30182251,313,109,7.109042614,274.09
30184131,1479,1076,17.06034134,1042.2
30184131,1076,1476,20.27772131,1151.6
30184131,1476,1479,9.170244318,476.02
30184132,1479,1480,5.508085227,117.23
30184132,1480,1479,5.508085227,117.23
30184132,1479,1479,5.305243679,97.361
30184951,1293,1228,17.14447202,812.63
30184951,1228,1296,15.8212696,750.87
30184951,1296,1293,5.475917614,114.09
30192451,482,120,31.81228523,1839.6
30192451,120,474,34.05535767,2055.6
30192451,474,471,6.47732017,212.19
30192451,471,482,7.924924645,304.76
30192452,482,113,30.21751392,1683.4
30192452,113,482,30.21751392,1683.4
30194621,941,941,8.330298438,1267
30194621,941,941,8.330298438,1267
30194621,941,178,45.83241591,3554.8
30194621,178,272,17.88432713,1733.5
30194621,272,941,37.50162259,3724.2
30194621,941,941,8.330298438,1267
30194861,391,81,27.83339886,1734.5
30194861,81,81,5.274003977,94.305
30194861,81,82,5.314893963,98.307
30194861,82,81,5.314893963,98.307
30194861,81,390,27.07745994,1652.3
30194861,390,391,5.355598366,127.87
30194862,391,91,25.95159347,1516.2
30194862,91,93,6.047635085,170.1
30194862,93,91,6.047635085,170.1
30194862,91,391,25.95159347,1516.2
30195302,1095,1096,5.118609659,78.037
30195302,1096,1095,5.118609659,78.037
30195303,1095,102,22.67482713,1330.1
30195303,102,92,8.898799148,449.43
30195303,92,1095,17.48223196,1121.8
30196421,890,271,27.18447912,1425
30196421,271,873,23.56005511,1331.5
30196421,873,890,9.264891335,483.58
30196481,169,150,8.996848509,459.03
30196481,150,150,5.109454261,89.656
30196481,150,150,5.109454261,89.656
30196481,150,150,5.109454261,89.656
30196481,150,169,8.996848509,459.03
30196482,169,1253,47.08880866,2905.1
30196482,1253,1229,15.64620355,750.31
30196482,1229,169,40.2791723,2441.5
30198581,1348,1429,13.47427102,746.03
30198581,1429,1348,13.47427102,746.03
30200731,285,177,20.23565597,1116.7
30200731,177,285,20.23565597,1116.7
30200841,1213,1275,9.354094602,454.03
30200841,1275,1219,8.279758168,410.66
30200841,1219,1213,7.242290767,287.14
30200841,1213,1214,5.675418679,136.18
